Announce,Unit,Cause,Category,Date,Start,End,Coord,Area,Central,Height,Phone
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-01,",000000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-07,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-08,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-13,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-14,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-15,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-21,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-22,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-27,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-28,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-29,",010000,040000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-07,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-08,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-13,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-14,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-15,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-21,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-22,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-27,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-28,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
裝訓部",實彈射擊,射擊通報,"2021-04-29,",060000,090000,WGS84,"[120.93555556,24.95527778],
[120.97416667,24.87777778],
[120.97555556,24.87444444],
[120.97444444,24.8725],
[120.97083333,24.87305556],
[120.88333333,24.89861111],
[120.93555556,24.95527778]","[120.96722222,24.87361111]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-07,",010000,040000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-08,",010000,040000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-14,",010000,040000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-15,",010000,040000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-22,",010000,040000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-27,",010000,040000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-28,",010000,040000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-29,",010000,040000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-07,",060000,090000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-08,",060000,090000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-14,",060000,090000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-15,",060000,090000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-22,",060000,090000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-27,",060000,090000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-28,",060000,090000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
北測中心",實彈射擊,射擊通報,"2021-04-29,",060000,090000,WGS84,"[121.01666667,24.88333334],
[121.06666667,24.88333334],
[121.06666667,24.83333334],
[121.01666667,24.83333334],
[121.01666667,24.88333334]","[121.03333334,25.85]",2000呎,(03)5973902
陸軍靶區實彈射擊,"陸軍
砲訓部",實彈射擊,射擊通報,"2021-04-27,",000000,050000,WGS84,"[120.32166667,22.99888889],
[120.33972222,22.99888889],
[120.33972222,22.98444445],
[120.32138889,22.98444445],
[120.32166667,22.99888889]
[120.31666667,22.98333333],
[120.35,22.98333333],
[120.35,22.96666667],
[120.31666667,22.96666667],
[120.31666667,22.98333333]","[120.33333333,22.98333333]",3000呎,(06)2310074
陸軍靶區實彈射擊,"陸軍
砲訓部",實彈射擊,射擊通報,"2021-04-28,",000000,050000,WGS84,"[120.32166667,22.99888889],
[120.33972222,22.99888889],
[120.33972222,22.98444445],
[120.32138889,22.98444445],
[120.32166667,22.99888889]
[120.31666667,22.98333333],
[120.35,22.98333333],
[120.35,22.96666667],
[120.31666667,22.96666667],
[120.31666667,22.98333333]","[120.33333333,22.98333333]",3000呎,(06)2310074
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-08,",000000,040000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-13,",000000,040000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-21,",000000,040000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-08,",011000,013000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-13,",011000,013000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-21,",011000,013000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
陸軍靶區實彈射擊,"陸軍
砲測中心",實彈射擊,射擊通報,"2021-04-09,",000000,040000,WGS84,"[120.50222222,23.81388889],
[120.58861111,23.82083333],
[120.59361111,23.78222222],
[120.50472222,23.79027778],
[120.50222222,23.81388889]
[120.52527778,23.86611111],
[120.58333333,23.86666667],
[120.58333333,23.75],
[120.52777778,23.74972222],
[120.52527778,23.86611111]","[120.55,23.8]",3000呎,(05)5571700
