嚴重程度,時,分,區,天候,光線,道路類別,速限,道路型態,事故位置,路面狀態,路面缺陷,障礙物,視距,號誌種類,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,車輛用途,當事者行動狀態,駕駛資格情形,飲酒情形,車輛撞擊部位最初,肇事因素個別,肇事因素主要,職業
0,1,0,西區,8,3,5,50,3,1,5,4,5,7,4,12,19,3,10,3,7,1,1,2,6,19,19,21
0,7,0,沙鹿區,8,1,5,40,3,1,5,4,5,7,2,12,23,2,1,1,7,9,6,8,12,23,23,9
0,7,27,北區,8,1,5,30,3,1,5,4,5,7,4,16,6,3,10,1,7,5,1,2,8,6,6,21
0,8,2,大甲區,8,1,5,50,4,2,5,4,5,7,2,12,23,2,1,1,7,9,3,2,14,43,23,21
0,8,10,潭子區,8,1,5,50,3,1,5,4,5,7,1,16,6,3,10,1,7,5,1,2,2,6,6,22
0,8,17,大肚區,8,1,5,50,14,9,5,4,5,7,4,16,26,2,9,1,7,11,1,2,12,26,26,19
0,8,27,石岡區,8,1,5,40,14,9,5,4,5,7,4,16,23,3,10,3,7,9,8,5,15,23,23,22
0,8,38,西屯區,8,1,5,50,4,1,5,4,5,7,3,15,6,3,10,3,7,9,1,2,7,6,6,21
0,8,46,龍井區,8,1,5,30,5,1,5,4,5,7,4,15,6,2,7,1,7,9,1,2,11,6,6,21
1,8,46,豐原區,8,1,5,50,5,9,5,4,5,7,1,16,6,2,9,3,7,5,1,2,11,6,6,22
0,8,52,南屯區,8,1,5,50,3,2,5,4,5,7,2,12,23,2,9,1,7,5,1,2,15,26,23,22
0,9,5,西屯區,8,1,5,50,3,2,5,4,5,7,4,12,7,3,10,3,7,7,1,2,4,7,7,21
1,9,10,沙鹿區,8,1,5,50,4,1,5,4,5,7,4,16,6,2,9,1,7,9,4,2,14,44,6,20
1,9,40,東勢區,8,1,5,50,3,1,5,4,5,7,4,11,6,3,10,1,7,5,1,2,1,6,6,21
0,9,45,沙鹿區,8,1,5,40,14,11,5,4,5,7,4,18,13,2,6,1,7,9,1,2,12,13,13,18
1,10,7,南屯區,8,1,5,50,4,1,5,4,5,7,4,15,6,2,9,1,7,9,1,2,11,6,6,22
1,10,7,沙鹿區,8,1,5,50,14,8,5,4,5,7,4,17,40,3,10,1,7,15,1,2,2,40,40,5
0,10,9,北區,8,1,5,50,14,9,5,4,5,7,2,16,19,3,10,1,7,9,1,2,11,44,19,22
0,10,15,大雅區,8,1,5,50,3,1,5,4,5,7,1,17,6,3,10,1,7,8,1,2,5,6,6,22
1,10,20,清水區,8,1,5,50,11,9,2,4,5,7,4,18,23,2,8,1,7,9,1,2,14,23,23,5
0,10,30,清水區,8,1,5,60,4,1,5,4,5,7,1,15,25,2,9,3,7,9,1,2,12,25,25,21
