地區,年分,房,廳,衛,室,車位,樓層,總樓層,房價(萬),海拔
大安區,39.1,3.0,2.0,2.0,0.0,0,5,12,4200.0,5.206
北投區,23.0,3.0,2.0,2.0,0.0,1,19,19,2850.0,17.618
北投區,12.3,1.0,1.0,1.0,0.0,0,4,13,498.0,79.326
大安區,43.4,2.0,1.0,0.0,0.0,0,12,12,3218.0,6.326
北投區,34.7,2.0,2.0,1.0,0.0,0,-1,7,598.0,148.535
大安區,39.3,4.0,2.0,2.0,0.0,0,3,7,3590.0,6.418
北投區,11.9,3.0,2.0,2.0,1.0,1,7,12,6600.0,134.582
大安區,45.8,0.0,1.0,1.0,0.0,0,7,12,2388.0,5.084
大安區,40.1,3.0,2.0,2.0,0.0,0,2,7,2988.0,5.488
大安區,37.0,3.0,2.0,2.0,0.0,0,3,5,2900.0,9.118
大安區,42.0,3.0,2.0,2.0,0.0,0,2,7,5888.0,4.108
大安區,12.7,3.0,2.0,2.0,0.0,1,11,14,9580.0,4.949
大安區,39.3,0.0,1.0,1.0,0.0,0,1,7,2320.0,6.418
大安區,8.1,3.0,2.0,3.0,0.0,1,4,11,11888.0,6.29
北投區,13.5,3.0,2.0,2.0,0.0,1,5,12,2580.0,29.803
北投區,36.7,3.0,2.0,1.0,0.0,0,5,7,1580.0,40.188
大安區,2.4,4.0,2.0,2.0,0.0,1,8,15,8150.0,6.326
大安區,34.9,2.0,2.0,2.0,0.0,0,2,16,3988.0,6.326
大安區,0.7,3.0,2.0,2.0,0.0,1,13,23,9980.0,3.77
大安區,37.5,4.0,2.0,2.0,0.0,1,3,7,9680.0,4.108
大安區,37.5,4.0,2.0,2.0,0.0,1,3,7,9680.0,4.108
大安區,39.4,1.0,1.0,1.0,0.0,0,9,11,768.0,4.658
大安區,32.6,2.0,2.0,1.0,1.0,0,12,16,3788.0,4.316
大安區,40.5,3.0,2.0,2.0,0.0,0,1,7,12000.0,4.316
大安區,60.1,5.0,0.0,1.0,0.0,0,1,3,7500.0,5.305
大安區,48.1,1.0,1.0,1.0,0.0,0,9,12,1898.0,3.77
大安區,19.5,3.0,2.0,2.0,0.0,1,12,14,7200.0,4.316
大安區,43.4,2.0,2.0,1.0,0.0,1,6,12,2688.0,6.326
大安區,31.8,4.0,2.0,2.0,1.0,1,14,25,7880.0,5.206
北投區,3.8,2.0,2.0,3.0,1.0,1,21,24,5188.0,14.557
大安區,44.9,4.0,2.0,2.0,1.0,0,2,6,4580.0,5.059
北投區,6.7,3.0,2.0,2.0,0.0,1,4,12,2380.0,6.986
大安區,37.6,3.0,2.0,2.0,0.0,0,6,7,5250.0,3.77
北投區,10.6,4.0,2.0,2.0,0.0,1,7,7,3960.0,74.101
大安區,2.4,3.0,2.0,2.0,0.0,1,14,15,8888.0,6.326
大安區,42.5,3.0,2.0,2.0,0.0,0,3,8,3888.0,4.108
大安區,14.2,3.0,2.0,3.0,0.0,1,4,6,7688.0,5.66
北投區,41.6,3.0,2.0,2.0,1.0,0,4,4,2050.0,5.465
大安區,13.1,4.0,2.0,3.0,1.0,1,3,9,19800.0,7.076
大安區,33.9,3.0,2.0,2.0,0.0,0,12,18,6318.0,6.163
大安區,7.4,2.0,2.0,1.0,0.0,1,3,9,5188.0,5.305
北投區,7.6,3.0,2.0,2.0,0.0,1,10,14,4380.0,0.864
北投區,5.8,3.0,2.0,2.0,0.0,1,12,14,3980.0,14.677
大安區,37.0,2.0,2.0,1.0,0.0,0,3,12,3380.0,6.257
北投區,43.1,3.0,2.0,1.0,0.0,1,1,4,3290.0,134.561
北投區,8.2,2.0,2.0,1.0,1.0,1,3,5,2980.0,134.561
北投區,36.1,3.0,2.0,2.0,0.0,0,4,5,1368.0,44.181
大安區,49.1,4.0,2.0,2.5,2.5,0,4,6,5500.0,5.084
北投區,37.0,3.0,2.0,2.0,0.0,0,6,7,2998.0,17.83
大安區,24.9,1.0,1.0,1.0,0.0,0,5,7,1138.0,4.316
北投區,13.8,4.0,2.0,2.0,0.0,1,5,7,3800.0,40.188
北投區,36.4,4.0,3.0,4.0,1.0,1,4,11,2550.0,148.845
大安區,44.1,5.0,1.0,1.0,0.0,0,5,12,4310.0,5.084
大安區,10.4,2.0,2.0,2.0,1.0,1,5,7,11438.0,5.305
大安區,24.3,2.0,1.0,1.5,1.5,1,4,6,2698.0,8.759
北投區,4.8,2.0,2.0,1.0,0.0,1,3,5,1980.0,33.607
北投區,36.6,3.0,2.0,2.0,0.0,0,5,7,1380.0,74.117
北投區,8.6,0.0,1.0,1.0,0.0,1,1,5,935.0,36.353
大安區,44.2,3.0,2.0,2.0,0.0,0,10,12,7980.0,5.51
大安區,46.6,3.0,2.0,2.0,0.0,0,4,4,2998.0,5.756
大安區,8.4,3.0,2.0,3.0,2.0,1,3,11,11888.0,6.137
北投區,38.4,4.0,2.0,2.0,0.0,0,4,5,2480.0,3.188
大安區,40.5,3.0,2.0,2.0,0.0,0,4,5,3288.0,7.35
北投區,39.3,2.0,2.0,1.0,0.0,0,3,6,1280.0,74.101
北投區,34.9,4.0,2.0,2.0,0.0,0,5,5,1480.0,44.001
大安區,0.7,3.0,2.0,2.0,0.0,1,7,23,10388.0,3.77
大安區,36.1,3.0,2.0,1.0,0.0,0,1,17,2680.0,8.36
大安區,0.7,3.0,2.0,2.0,0.0,1,12,23,12500.0,3.77
北投區,8.8,4.0,2.0,4.0,1.0,1,17,27,11000.0,1.407
北投區,2.7,2.0,2.0,1.0,0.0,1,2,7,2200.0,5.377
北投區,39.3,2.0,2.0,1.0,0.0,1,4,6,1530.0,74.101
北投區,14.5,2.0,2.0,1.0,0.0,1,3,14,5250.0,0.779
大安區,0.7,3.0,2.0,2.0,0.0,1,5,23,10538.0,3.77
大安區,8.4,4.0,2.0,3.0,0.0,0,18,19,15930.0,7.35
大安區,9.4,4.0,2.0,3.5,3.5,1,12,14,16900.0,5.992
大安區,36.1,3.0,2.0,2.0,0.0,0,17,19,3980.0,6.163
北投區,7.0,4.0,2.0,2.0,0.0,1,19,27,5280.0,14.557
大安區,6.4,4.0,2.0,4.5,4.5,1,33,38,39800.0,5.66
